No,County/ Sub-County,Rented/Provided ,Government Number, Gov No per cent,County Government Number, CG per cent,Parastatal  Number, Parastatal per cent,Private company Number, Private Company per cent,Individual Number, Ind. No. per cent,FBO/NGO/ Church/Temple/Mosque Number, FBO/NGOper cent
143,MAKUENI ,45609,1054,2.3,695,1.5,236,0.5,2339,5.1,40684,89.2,601,1.3
144,KATHONZWENI ,2153,49,2.3,69,3.2,3,0.1,115,5.3,1884,87.5,33,1.5
145,KIBWEZI ,11379,140,1.2,195,1.7,76,0.7,1148,10.1,9703,85.3,117,1
146,KILUNGU ,626,42,6.7,1,0.2,- ,-,37,5.9,528,84.3,18,2.9
147,MAKINDU ,6280,128,2,43,0.7,89,1.4,370,5.9,5588,89,62,1
148,MAKUENI ,9580,295,3.1,71,0.7,16,0.2,202,2.1,8920,93.1,76,0.8
149,MBOONI EAST,2094,82,3.9,14,0.7,3,0.1,16,0.8,1950,93.1,29,1.4
150,MBOONI WEST,1670,81,4.9,4,0.2,1,0.1,25,1.5,1500,89.8,59,3.5
151,MUKAA ,5871,182,3.1,210,3.6,34,0.6,298,5.1,5008,85.3,139,2.4
152,NZAUI ,5956,55,0.9,88,1.5,14,0.2,128,2.1,5603,94.1,68,1.1
153,NYANDARUA ,53734,1084,2,184,0.3,203,0.4,1026,1.9,50668,94.3,569,1.1
154,KINANGOP ,9613,71,0.7,40,0.4,51,0.5,172,1.8,9197,95.7,82,0.9
155,NYANDARUA SOUTH,809,96,1.2,13,0.2,41,0.5,104,1.3,7633,94.3,207,2.6
156,MIRANGINE ,5123,181,3.5,15,0.3,13,0.3,160,3.1,4697,91.7,57,1.1
157,KIPIPIRI ,4787,169,3.5,14,0.3,18,0.4,73,1.5,4473,93.4,40,0.8
158,NYANDARUA CENTRAL,9,176,2,54,0.6,37,0.4,199,2.2,8455,93.9,86,1
159,NYANDARUA WEST,1048,209,2,32,0.3,12,0.1,264,2.5,9922,94.6,50,0.5
160,NYANDARUA NORTH,661,173,2.6,16,0.2,31,0.5,54,0.8,6291,95.1,47,0.7
161,ABERDARE NATIONAL P,,9,100,- ,-,- ,-,-,-,- ,-,- ,-
162,NYERI ,80917,3159,3.9,693,0.9,712,0.9,3243,4,72140,89.2,970,1.2
163,TETU ,2987,218,7.3,12,0.4,47,1.6,124,4.2,2549,85.3,37,1.2
164,KIENI EAST,1699,174,1,169,1,123,0.7,737,4.3,15637,92,157,0.9
165,KIENI WEST,8276,148,1.8,31,0.4,35,0.4,461,5.6,7469,90.2,132,1.6
166,MATHIRA EAST,1243,241,1.9,75,0.6,150,1.2,143,1.1,11764,94.6,64,0.5
167,MATHIRA WEST,2242,195,8.7,16,0.7,29,1.3,77,3.4,1851,82.6,74,3.3
168,NYERI SOUTH,595,257,4.3,22,0.4,66,1.1,219,3.7,5327,89.5,61,1
169,MUKURWE-INI ,2750,158,5.7,31,1.1,16,0.6,32,1.2,2455,89.3,58,2.1
170,NYERI CENTRAL,29,1731,5.9,333,1.1,170,0.6,1446,5,25087,86,387,1.3
171,MT. KENYA FOREST,,37,50,4,5.4,32,43.2,-,-,1,1.4,- ,-
