No,County/ Sub-County,Rented/Provided ,Government Number, Gov No per cent,County Government Number, CG per cent,Parastatal  Number, Parastatal per cent,Private company Number, Private Company per cent,Individual Number, Ind. No. per cent,FBO/NGO/ Church/Temple/Mosque Number, FBO/NGOper cent
353,SIAYA ,46969,1209,2.6,629,1.3,530,1.1,1015,2.2,43098,91.8,488,1
354,SIAYA ,11408,413,3.6,31,0.3,71,0.6,205,1.8,10581,92.8,107,0.9
355,GEM ,4915,190,3.9,134,2.7,115,2.3,190,3.9,4201,85.5,85,1.7
356,UGENYA ,3622,152,4.2,62,1.7,28,0.8,46,1.3,3301,91.1,33,0.9
357,UGUNJA ,4311,103,2.4,9,0.2,28,0.6,64,1.5,4056,94.1,51,1.2
358,BONDO ,17851,191,1.1,186,1,218,1.2,373,2.1,16751,93.8,132,0.7
364,RARIEDA ,4862,160,3.3,207,4.3,70,1.4,137,2.8,4208,86.5,80,1.6
365,KISUMU ,120033,4039,3.4,1306,1.1,3100,2.6,3423,2.9,107400,89.5,765,0.6
366,KISUMU EAST,3729,83,0.2,505,1.4,277,0.7,955,2.6,35340,94.8,133,0.4
367,KISUMU CENTRAL,45,2338,5.1,361,0.8,671,1.5,894,1.9,41515,90.3,211,0.5
368,KISUMU WEST,1431,857,6,90,0.6,62,0.4,321,2.2,12896,90.1,84,0.6
369,SEME ,2608,85,3.3,62,2.4,38,1.5,90,3.5,2278,87.3,55,2.1
370,MUHORONI ,9604,470,4.9,128,1.3,1577,16.4,869,9,6435,67,125,1.3
371,NYANDO ,6452,165,2.6,136,2.1,236,3.7,171,2.7,5670,87.9,74,1.1
372,NYAKACH ,3776,41,1.1,24,0.6,239,6.3,123,3.3,3266,86.5,83,2.2
373,HOMA BAY,48472,1376,2.8,911,1.9,507,1,1499,3.1,43566,89.9,613,1.3
374,HOMA BAY,11451,504,4.4,272,2.4,122,1.1,361,3.2,10087,88.1,105,0.9
375,NDHIWA ,4801,161,3.4,54,1.1,57,1.2,257,5.4,4212,87.7,60,1.2
376,RACHUONYO NORTH,481,190,3.9,276,5.7,59,1.2,130,2.7,4035,83.7,128,2.7
377,RACHUONYO EAST,2357,57,2.4,17,0.7,57,2.4,22,0.9,2148,91.1,56,2.4
378,RACHUONYO SOUTH,655,91,1.4,49,0.7,44,0.7,297,4.5,6015,91.8,54,0.8
379,RANGWE ,1995,102,5.1,127,6.4,37,1.9,85,4.3,1569,78.6,75,3.8
380,SUBA NORTH,956,164,1.7,66,0.7,27,0.3,208,2.2,9005,94.2,93,1
381,SUBA SOUTH,693,107,1.5,50,0.7,104,1.5,139,2,6495,93.6,42,0.6
382,MIGORI ,49346,1125,2.3,580,1.2,1131,2.3,1125,2.3,44884,91,501,1
383,AWENDO ,6690,149,2.2,26,0.4,637,9.5,168,2.5,5635,84.2,75,1.1
384,KURIA EAST,932,128,13.7,10,1.1,1,0.1,17,1.8,766,82.2,10,1.1
385,KURIA WEST,8938,155,1.7,35,0.4,103,1.2,206,2.3,8405,94,34,0.4
386,NYATIKE ,7794,172,2.2,128,1.6,141,1.8,156,2,7125,91.4,72,0.9
387,RONGO ,7005,161,2.3,54,0.8,24,0.3,173,2.5,6487,92.6,106,1.5
388,SUNA EAST,6890,211,3.1,14,0.2,67,1,239,3.5,6303,91.5,56,0.8
389,SUNA WEST,8198,47,0.6,162,2,111,1.4,81,1,7701,93.9,96,1.2
390,URIRI ,2899,102,3.5,151,5.2,47,1.6,85,2.9,2462,84.9,52,1.8
391,KISII ,52130,1226,2.4,685,1.3,265,0.5,1092,2.1,48565,93.2,297,0.6
392,ETAGO ,1225,33,2.7,66,5.4,1,0.1,20,1.6,1095,89.4,10,0.8
393,GUCHA ,2438,33,1.4,2,0.1,7,0.3,133,5.5,2253,92.4,10,0.4
394,GUCHA SOUTH,185,47,2.5,- ,-,2,0.1,48,2.6,1668,90.1,86,4.6
395,KENYENYA ,3505,31,0.9,92,2.6,15,0.4,16,0.5,3333,95.1,18,0.5
396,KISII CENTRAL,15,785,5.1,181,1.2,78,0.5,353,2.3,14024,90.6,55,0.4
397,KISII SOUTH,343,42,1.2,7,0.2,36,1,92,2.7,3236,94.3,19,0.6
398,KITUTU  CENTRAL,16,127,0.8,274,1.7,97,0.6,310,1.9,15403,94.9,25,0.2
399,MARANI ,1150,42,3.7,5,0.4,3,0.3,7,0.6,1071,93.1,22,1.9
400,MASABA SOUTH,295,61,2.1,31,1,1,0,27,0.9,2812,95.1,26,0.9
401,NYAMACHE ,2490,14,0.6,6,0.2,14,0.6,76,3.1,2366,95,14,0.6
402,SAMETA ,1369,11,0.8,21,1.5,11,0.8,10,0.7,1304,95.3,12,0.9
403,NYAMIRA ,21767,615,2.8,289,1.3,137,0.6,2174,10,18402,84.5,150,0.7
404,BORABU ,8368,107,1.3,34,0.4,65,0.8,1859,22.2,6235,74.5,68,0.8
405,MANGA ,2376,78,3.3,108,4.5,17,0.7,8,0.3,2154,90.7,11,0.5
406,MASABA NORTH,308,101,3.3,60,1.9,40,1.3,67,2.2,2801,90.9,13,0.4
407,NYAMIRA  NORTH,334,85,2.5,1,0,13,0.4,118,3.5,3094,92.4,38,1.1
408,NYAMIRA SOUTH,459,244,5.3,86,1.9,2,0,122,2.7,4118,89.7,20,0.4
409,NAIROBI CITY,13,28829,2.1,23794,1.8,14726,1.1,97984,7.2,1184499,87.4,5050,0.4
410,DAGORETTI ,140898,432,0.3,1400,1,740,0.5,8579,6.1,129417,91.9,330,0.2
411,EMBAKASI ,328498,2690,0.8,2903,0.9,2440,0.7,31101,9.5,288905,87.9,459,0.1
412,KAMUKUNJI ,79869,1979,2.5,3019,3.8,472,0.6,7098,8.9,66952,83.8,349,0.4
413,KASARANI ,246121,4273,1.7,2394,1,1540,0.6,14920,6.1,222404,90.4,590,0.2
414,KIBRA ,55504,1659,3,1484,2.7,1233,2.2,1313,2.4,49642,89.4,173,0.3
415,LANG'ATA ,47853,3813,8,331,0.7,899,1.9,5122,10.7,36930,77.2,758,1.6
416,MAKADARA ,65557,5404,8.2,6293,9.6,3383,5.2,2529,3.9,47452,72.4,496,0.8
417,MATHARE ,72778,814,1.1,1910,2.6,153,0.2,3782,5.2,66041,90.7,78,0.1
418,NJIRU ,169306,1018,0.6,1880,1.1,778,0.5,5900,3.5,159380,94.1,350,0.2
419,STAREHE ,62111,3673,5.9,1449,2.3,1884,3,6766,10.9,47964,77.2,375,0.6
,WESTLANDS ,86387,3074,3.6,731,0.8,1204,1.4,10874,12.6,69412,80.4,1092,1.3
